Filtre 4 , et parametre {'n_estimators': 1000, 'max_depth': None, 'min_samples_split': 2},addfeatures1, Erreur absolue moyenne (Random Forest) pour le scaler RobustScaler : 1.6430509277748713
Filtre 4 , et parametre {'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 5},addfeatures1, Erreur absolue moyenne (Random Forest) pour le scaler RobustScaler : 2.1931275494511024
Filtre 4 , et parametre {'n_estimators': 2000, 'max_depth': 20, 'min_samples_split': 2},addfeatures1, Erreur absolue moyenne (Random Forest) pour le scaler RobustScaler : 1.6334886698033453
Filtre 5 , et parametre {'n_estimators': 1000, 'max_depth': None, 'min_samples_split': 2},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler StandardScaler : 2.4036652803385605
Filtre 5 , et parametre {'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 5},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler StandardScaler : 2.936711353168135
Filtre 5 , et parametre {'n_estimators': 2000, 'max_depth': 20, 'min_samples_split': 2},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler StandardScaler : 2.4034919054231496
Filtre 5 , et parametre {'n_estimators': 1000, 'max_depth': None, 'min_samples_split': 2},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler PowerTransformer : 2.392035509925541
Filtre 5 , et parametre {'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 5},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler PowerTransformer : 2.9307073366381173
Filtre 5 , et parametre {'n_estimators': 2000, 'max_depth': 20, 'min_samples_split': 2},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler PowerTransformer : 2.393469768559448
Filtre 5 , et parametre {'n_estimators': 1000, 'max_depth': None, 'min_samples_split': 2},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler RobustScaler : 2.402755311142889
Filtre 5 , et parametre {'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 5},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler RobustScaler : 2.935306970965792
Filtre 5 , et parametre {'n_estimators': 2000, 'max_depth': 20, 'min_samples_split': 2},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler RobustScaler : 2.4024743587884174
Filtre 5 , et parametre {'n_estimators': 1000, 'max_depth': None, 'min_samples_split': 2},addfeatures1, Erreur absolue moyenne (Random Forest) pour le scaler StandardScaler : 1.6495260377365033
Filtre 5 , et parametre {'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 5},addfeatures1, Erreur absolue moyenne (Random Forest) pour le scaler StandardScaler : 2.1025747589223487
Filtre 5 , et parametre {'n_estimators': 2000, 'max_depth': 20, 'min_samples_split': 2},addfeatures1, Erreur absolue moyenne (Random Forest) pour le scaler StandardScaler : 1.6496815800767652
Filtre 5 , et parametre {'n_estimators': 1000, 'max_depth': None, 'min_samples_split': 2},addfeatures1, Erreur absolue moyenne (Random Forest) pour le scaler PowerTransformer : 1.646297545665382
Filtre 5 , et parametre {'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 5},addfeatures1, Erreur absolue moyenne (Random Forest) pour le scaler PowerTransformer : 2.1025360975489398
Filtre 5 , et parametre {'n_estimators': 2000, 'max_depth': 20, 'min_samples_split': 2},addfeatures1, Erreur absolue moyenne (Random Forest) pour le scaler PowerTransformer : 1.6462470743446618
Filtre 5 , et parametre {'n_estimators': 1000, 'max_depth': None, 'min_samples_split': 2},addfeatures1, Erreur absolue moyenne (Random Forest) pour le scaler RobustScaler : 1.6511849108598722
Filtre 5 , et parametre {'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 5},addfeatures1, Erreur absolue moyenne (Random Forest) pour le scaler RobustScaler : 2.103117754525391
Filtre 5 , et parametre {'n_estimators': 2000, 'max_depth': 20, 'min_samples_split': 2},addfeatures1, Erreur absolue moyenne (Random Forest) pour le scaler RobustScaler : 1.6514723932442321
