Filtre 1, Paramètre {'C': 1.0, 'epsilon': 0.1, 'kernel': 'poly'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler RobustScaler : 4.70516506633915
Filtre 1, Paramètre {'C': 10.0, 'epsilon': 0.05, 'kernel': 'poly'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler RobustScaler : 5.684707035840883
Filtre 1, Paramètre {'C': 100.0, 'epsilon': 0.1, 'kernel': 'poly'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler RobustScaler : 6.782197013605959
Filtre 1, Paramètre {'C': 1000.0, 'epsilon': 0.2, 'kernel': 'poly'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler RobustScaler : 7.443311973887898
Filtre 2, Paramètre {'C': 0.1, 'epsilon': 0.01, 'kernel': 'rbf'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 4.085812437243313
Filtre 2, Paramètre {'C': 0.5, 'epsilon': 0.05, 'kernel': 'rbf'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 4.183794155354766
Filtre 2, Paramètre {'C': 1.0, 'epsilon': 0.1, 'kernel': 'rbf'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 4.236632224108282
Filtre 2, Paramètre {'C': 10.0, 'epsilon': 0.05, 'kernel': 'rbf'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 4.447522069250874
Filtre 2, Paramètre {'C': 10.0, 'epsilon': 0.1, 'kernel': 'rbf'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 4.423949719015586
Filtre 2, Paramètre {'C': 100.0, 'epsilon': 0.2, 'kernel': 'rbf'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 4.493268393673887
Filtre 2, Paramètre {'C': 1.0, 'epsilon': 0.1, 'kernel': 'linear'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 4.925625208157725
Filtre 2, Paramètre {'C': 10.0, 'epsilon': 0.05, 'kernel': 'linear'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 5.05670196249025
Filtre 2, Paramètre {'C': 100.0, 'epsilon': 0.1, 'kernel': 'linear'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 5.760720401367209
Filtre 2, Paramètre {'C': 1.0, 'epsilon': 0.1, 'kernel': 'poly'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 4.13485115501693
Filtre 2, Paramètre {'C': 10.0, 'epsilon': 0.05, 'kernel': 'poly'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 4.55759778206583
Filtre 2, Paramètre {'C': 100.0, 'epsilon': 0.1, 'kernel': 'poly'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 4.535980065320805
Filtre 2, Paramètre {'C': 1000.0, 'epsilon': 0.2, 'kernel': 'poly'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 6.712937894785117
Filtre 2, Paramètre {'C': 0.1, 'epsilon': 0.01, 'kernel': 'rbf'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 4.082048967667469
Filtre 2, Paramètre {'C': 0.5, 'epsilon': 0.05, 'kernel': 'rbf'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 4.1654133585174575
Filtre 2, Paramètre {'C': 1.0, 'epsilon': 0.1, 'kernel': 'rbf'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 4.218507007730835
Filtre 2, Paramètre {'C': 10.0, 'epsilon': 0.05, 'kernel': 'rbf'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 4.5039701735066755
Filtre 2, Paramètre {'C': 10.0, 'epsilon': 0.1, 'kernel': 'rbf'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 4.510593755315984
Filtre 2, Paramètre {'C': 100.0, 'epsilon': 0.2, 'kernel': 'rbf'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 4.530833629202611
Filtre 2, Paramètre {'C': 1.0, 'epsilon': 0.1, 'kernel': 'linear'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 4.627965081676152
Filtre 2, Paramètre {'C': 10.0, 'epsilon': 0.05, 'kernel': 'linear'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 5.081794805874846
Filtre 2, Paramètre {'C': 100.0, 'epsilon': 0.1, 'kernel': 'linear'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 5.176424305507744
Filtre 2, Paramètre {'C': 1.0, 'epsilon': 0.1, 'kernel': 'poly'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 4.204889433715309
Filtre 2, Paramètre {'C': 10.0, 'epsilon': 0.05, 'kernel': 'poly'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 4.444178512692007
Filtre 2, Paramètre {'C': 100.0, 'epsilon': 0.1, 'kernel': 'poly'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 5.711050406291964
Filtre 2, Paramètre {'C': 1000.0, 'epsilon': 0.2, 'kernel': 'poly'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 6.978540930086503
Filtre 2, Paramètre {'C': 0.1, 'epsilon': 0.01, 'kernel': 'rbf'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler RobustScaler : 4.080590704185239
Filtre 2, Paramètre {'C': 0.5, 'epsilon': 0.05, 'kernel': 'rbf'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler RobustScaler : 4.158192077629638
Filtre 2, Paramètre {'C': 1.0, 'epsilon': 0.1, 'kernel': 'rbf'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler RobustScaler : 4.21945366405878
Filtre 2, Paramètre {'C': 10.0, 'epsilon': 0.05, 'kernel': 'rbf'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler RobustScaler : 4.368579566666861
Filtre 2, Paramètre {'C': 10.0, 'epsilon': 0.1, 'kernel': 'rbf'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler RobustScaler : 4.355684701231674
Filtre 2, Paramètre {'C': 100.0, 'epsilon': 0.2, 'kernel': 'rbf'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler RobustScaler : 4.557643331537524
Filtre 2, Paramètre {'C': 1.0, 'epsilon': 0.1, 'kernel': 'linear'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler RobustScaler : 4.26809155031922
Filtre 2, Paramètre {'C': 10.0, 'epsilon': 0.05, 'kernel': 'linear'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler RobustScaler : 4.8012919949641795
Filtre 2, Paramètre {'C': 100.0, 'epsilon': 0.1, 'kernel': 'linear'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler RobustScaler : 5.137079040729766
Filtre 2, Paramètre {'C': 1.0, 'epsilon': 0.1, 'kernel': 'poly'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler RobustScaler : 4.537912962998023
Filtre 2, Paramètre {'C': 10.0, 'epsilon': 0.05, 'kernel': 'poly'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler RobustScaler : 6.036651345191826
Filtre 2, Paramètre {'C': 100.0, 'epsilon': 0.1, 'kernel': 'poly'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler RobustScaler : 7.294908314890216
Filtre 2, Paramètre {'C': 1000.0, 'epsilon': 0.2, 'kernel': 'poly'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler RobustScaler : 12.555400222564206
Filtre 2, Paramètre {'C': 0.1, 'epsilon': 0.01, 'kernel': 'rbf'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 4.078234619058138
